City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mokhotlong,LS,-29.2894,29.0675,56.28,80,95,2.95,overcast clouds
80,Bahia Honda,CU,22.9036,-83.1592,73.36,84,100,6.98,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,71.74,47,97,2.82,overcast clouds
82,Tasiilaq,GL,65.6145,-37.6368,32.16,84,100,46.66,snow
83,Chuy,UY,-33.6971,-53.4616,67.37,81,0,9.37,clear sky
84,Berlevag,NO,70.8578,29.0864,30.2,71,96,25.72,overcast clouds
85,Eureka,US,40.8021,-124.1637,47.19,77,96,1.99,overcast clouds
86,Muborak,UZ,39.2553,65.1528,39.52,65,100,5.86,overcast clouds
87,Severo-Kurilsk,RU,50.6789,156.125,31.1,92,91,9.01,light snow
88,Souillac,MU,-20.5167,57.5167,75.58,100,75,3.44,broken clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,72.73,90,100,6.08,overcast clouds
90,Saldanha,ZA,-33.0117,17.9442,64.45,93,18,8.32,few clouds
91,Olafsvik,IS,64.8945,-23.7142,38.95,92,100,19.64,moderate rain
92,Saint-Pierre,RE,-21.3393,55.4781,81.28,76,75,3.44,broken clouds
93,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,26.46,light snow
94,Codrington,AU,-38.2667,141.9667,72.68,56,64,17.49,broken clouds
95,Khatanga,RU,71.9667,102.5,-5.58,91,99,6.35,overcast clouds
96,Nizhniy Kuranakh,RU,58.8353,125.4869,-20.25,95,84,1.07,broken clouds
97,Digha,IN,21.6833,87.55,74.93,50,0,6.02,clear sky
98,Mount Pleasant,US,32.7941,-79.8626,68.05,89,0,1.01,clear sky
99,Saint-Jacques,CA,45.9501,-73.5659,28.38,54,39,12.66,scattered clouds
100,Salalah,OM,17.0151,54.0924,69.89,32,0,6.91,clear sky
101,Te Anau,NZ,-45.4167,167.7167,72.07,60,68,5.97,broken clouds
102,Troitsko-Pechorsk,RU,62.7084,56.1964,15.85,94,100,7.63,light snow
103,Georgetown,MY,5.4112,100.3354,85.98,60,20,1.99,few clouds
104,Wanning,CN,18.8003,110.3967,75.72,69,23,7.54,few clouds
105,Mar Del Plata,AR,-38.0023,-57.5575,72.09,43,0,1.99,clear sky
106,Leh,IN,34.1667,77.5833,12.69,74,100,4.76,overcast clouds
107,Nalut,LY,30.3333,10.85,42.03,36,21,15.23,few clouds
108,Mingguang,CN,32.7802,117.9638,45.84,67,100,5.93,overcast clouds
109,Saint-Philippe,RE,-21.3585,55.7679,81.21,81,98,12.46,light rain
110,Chapais,CA,49.7834,-74.8492,-7.82,89,100,13.09,overcast clouds
111,Lorengau,PG,-2.0226,147.2712,83.57,70,98,9.44,overcast clouds
112,Kattivakkam,IN,13.2167,80.3167,82.49,86,11,7.38,few clouds
113,Baixa Grande,BR,-11.9597,-40.1681,70.0,96,100,2.66,overcast clouds
114,Labuhan,ID,-6.8844,112.2051,86.4,66,91,8.01,overcast clouds
115,Batamshinskiy,KZ,50.5594,58.2747,-10.88,88,34,7.76,scattered clouds
116,Tiarei,PF,-17.5333,-149.3333,80.62,85,79,19.8,light rain
117,Carnarvon,AU,-24.8667,113.6333,82.47,47,0,19.57,clear sky
118,Hermanus,ZA,-34.4187,19.2345,66.9,85,73,4.56,broken clouds
119,Inirida,CO,3.8653,-67.9239,72.52,68,95,2.28,overcast clouds
120,Iquitos,PE,-3.7481,-73.2472,78.84,89,0,4.61,clear sky
121,Port Hedland,AU,-20.3167,118.5667,89.65,66,0,11.5,clear sky
122,Dikson,RU,73.5069,80.5464,-11.83,100,99,3.56,overcast clouds
123,Saint-Augustin,CA,51.226,-58.6502,32.22,98,100,27.34,snow
124,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.48,42,7,3.89,clear sky
125,Arraial Do Cabo,BR,-22.9661,-42.0278,68.5,93,100,4.29,light rain
126,Camara De Lobos,PT,32.6333,-16.9667,64.13,78,40,3.44,scattered clouds
127,Saskylakh,RU,71.9167,114.0833,-3.41,96,82,8.1,broken clouds
128,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,75,11.5,broken clouds
129,Kingman,US,35.1894,-114.053,53.08,45,0,6.91,clear sky
130,Abalak,RU,58.1286,68.5944,5.63,88,100,10.33,overcast clouds
131,Hobyo,SO,5.3505,48.5268,78.4,67,18,19.37,few clouds
132,Praxedis Guerrero,MX,31.3667,-106.0167,49.46,42,100,12.59,overcast clouds
133,Samana,DO,19.2056,-69.3369,73.54,88,49,10.6,scattered clouds
134,Maues,BR,-3.3836,-57.7186,71.22,94,100,1.5,overcast clouds
135,Yellowknife,CA,62.456,-114.3525,-25.58,80,40,0.0,scattered clouds
136,Qaanaaq,GL,77.484,-69.3632,3.96,67,100,7.78,overcast clouds
137,Geraldton,AU,-28.7667,114.6,91.13,15,0,12.66,clear sky
138,Axim,GH,4.8699,-2.2405,79.34,82,79,3.67,broken clouds
139,Baykit,RU,61.67,96.37,15.51,97,100,2.44,overcast clouds
140,Bayamo,CU,20.3792,-76.6433,72.12,88,98,5.01,overcast clouds
141,Korla,CN,41.7597,86.1469,28.15,51,55,4.21,broken clouds
142,Roma,US,43.2128,-75.4557,30.65,89,100,18.41,snow
143,Akyab,MM,20.15,92.9,75.15,52,0,2.75,clear sky
144,Katsuura,JP,35.1333,140.3,52.2,75,100,17.76,overcast clouds
145,Ust-Maya,RU,60.4167,134.5333,-31.65,94,87,0.22,overcast clouds
